year,title,category,nominee,artist,winner,track_id,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Album,Holy Roar,Chris Tomlin,True,2IPWIK1PH9ArgXTaKmk7Ly,Holy Roar,Holy Roar,43,251933,False,0.444,0.829,10,-4.997,1,0.0455,0.00244,0.0,0.0695,0.337,156.146,world-music
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Mexican Music Album (Including Tejano),De Ayer Para Siempre,Mariachi Los Camperos,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Mexican Music Album (Including Tejano),Caminando,Joss Favela,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Mexican Music Album (Including Tejano),Percepción,Intocable,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Mexican Music Album (Including Tejano),Poco A Poco,La Energia Norteña,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Mexican Music Album (Including Tejano),20 Aniversario,Mariachi Divas De Cindy Shea,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Performance,Saint Honesty,Sara Bareilles,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Performance,Father Mountain,Calexico And Iron & Wine,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Performance,I'm On My Way,Rhiannon Giddens With Francesco Turrisi,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Performance,Call My Name,I'M With Her,True,2MgfxFG6RBfW4ivhwFtYoi,Call My Name,Call My Name,50,192666,False,0.598,0.434,6,-11.369,1,0.0576,0.804,0.0256,0.111,0.433,156.037,bluegrass
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Performance,Faraway Look,Yola,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Song,Call My Name,I'M With Her;Sara Watkins;Sarah Jarosz;Aoife O'Donovan,True,2MgfxFG6RBfW4ivhwFtYoi,Call My Name,Call My Name,50,192666,False,0.598,0.434,6,-11.369,1,0.0576,0.804,0.0256,0.111,0.433,156.037,bluegrass
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Song,Black Myself,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Song,Crossing To Jerusalem,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Song,Faraway Look,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Song,I Don't Wanna Ride The Rails No More,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Roots Music Album,Good Time,Ranky Tanky,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Roots Music Album,Kalawai’anui,Amy Hānaiali’I,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Roots Music Album,When It's Cold - Cree Round Dance Songs,Northern Cree,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Roots Music Album,Recorded Live At The 2019 New Orleans Jazz & Heritage Festival,Rebirth Brass Band,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Roots Music Album,Hawaiian Lullaby,(Various Artists),True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best World Music Album,Celia,Angelique Kidjo,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
